,FullClassPath,SubClassPath,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass,label,cluster
0,src.com.eteks.sweethome3d.j3d.OBJWriter,sweethome3d.j3d.OBJWriter,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Service Provider,7
1,src.com.eteks.sweethome3d.model.Compass,sweethome3d.model.Compass,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Service Provider,7
2,src.com.eteks.sweethome3d.tools.ExtensionsClassLoader,sweethome3d.tools.ExtensionsClassLoader,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
3,src.com.eteks.sweethome3d.viewcontroller.PlanController,sweethome3d.viewcontroller.PlanController,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Controller,2
4,src.com.eteks.sweethome3d.j3d.Wall3D,sweethome3d.j3d.Wall3D,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
5,src.com.eteks.sweethome3d.viewcontroller.RoomController,sweethome3d.viewcontroller.RoomController,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Coordinator,2
6,src.com.eteks.sweethome3d.j3d.ModelManager,sweethome3d.j3d.ModelManager,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Controller,7
7,src.com.eteks.sweethome3d.model.Camera,sweethome3d.model.Camera,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Information Holder,2
8,src.com.eteks.sweethome3d.applet.HomeAppletController,sweethome3d.applet.HomeAppletController,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Controller,7
9,src.com.eteks.sweethome3d.viewcontroller.LevelController,sweethome3d.viewcontroller.LevelController,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Controller,2
10,src.com.eteks.sweethome3d.viewcontroller.LabelController,sweethome3d.viewcontroller.LabelController,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Controller,2
