,FullClassPath,SubClassPath,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass,label
0,org.argouml.kernel.AbstractCommand,argouml.kernel.AbstractCommand,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Holder
1,org.argouml.application.api.AbstractArgoJPanel,argouml.application.api.AbstractArgoJPanel,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Information Holder
2,org.argouml.uml.diagram.ui.ActionNavigability,argouml.uml.diagram.ui.ActionNavigability,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
3,org.argouml.uml.diagram.ui.ActionSetAddAssociationMode,argouml.uml.diagram.ui.ActionSetAddAssociationMode,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Holder
4,org.argouml.uml.diagram.ui.FigEdgeAssociationClass,argouml.uml.diagram.ui.FigEdgeAssociationClass,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Interfacer
5,org.argouml.persistence.XmiInputStream,argouml.persistence.XmiInputStream,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
6,org.argouml.uml.diagram.state.ui.FigSimpleState,argouml.uml.diagram.state.ui.FigSimpleState,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Holder
7,org.argouml.cognitive.checklist.CheckItem,argouml.cognitive.checklist.CheckItem,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Holder
8,org.argouml.uml.diagram.ui.FigSingleLineTextWithNotation,argouml.uml.diagram.ui.FigSingleLineTextWithNotation,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Service Provider
9,org.argouml.uml.diagram.ui.FigNodeModelElement,argouml.uml.diagram.ui.FigNodeModelElement,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Interfacer
10,org.argouml.uml.diagram.collaboration.ui.SelectionClassifierRole,argouml.uml.diagram.collaboration.ui.SelectionClassifierRole,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Holder
11,org.argouml.ui.CheckboxTableModel,argouml.ui.CheckboxTableModel,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Holder
12,org.argouml.uml.diagram.ui.SelectionNodeClarifiers2,argouml.uml.diagram.ui.SelectionNodeClarifiers2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
13,org.argouml.notation.providers.uml.AssociationEndNameNotationUml,argouml.notation.providers.uml.AssociationEndNameNotationUml,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Service Provider
14,org.argouml.ui.TreeModelSupport,argouml.ui.TreeModelSupport,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
15,org.argouml.configuration.Configuration,argouml.configuration.Configuration,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Information Holder
16,org.argouml.ui.ActionCreateEdgeModelElement,argouml.ui.ActionCreateEdgeModelElement,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
17,org.argouml.uml.diagram.ui.FigNodeAssociation,argouml.uml.diagram.ui.FigNodeAssociation,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
18,org.argouml.gefext.ArgoFigRect,argouml.gefext.ArgoFigRect,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
19,org.argouml.gefext.ArgoModeCreateFigRRect,argouml.gefext.ArgoModeCreateFigRRect,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
20,org.argouml.uml.diagram.activity.ui.FigPartition,argouml.uml.diagram.activity.ui.FigPartition,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Interfacer
21,org.argouml.uml.diagram.ui.FigClassAssociationClass,argouml.uml.diagram.ui.FigClassAssociationClass,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
22,org.argouml.uml.diagram.ui.UMLDiagram,argouml.uml.diagram.ui.UMLDiagram,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Interfacer
23,org.argouml.gefext.ArgoFigCircle,argouml.gefext.ArgoFigCircle,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
24,org.argouml.uml.diagram.deployment.ui.FigComponent,argouml.uml.diagram.deployment.ui.FigComponent,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
25,org.argouml.util.MyTokenizer,argouml.util.MyTokenizer,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Service Provider
26,org.argouml.uml.generator.SourceUnit,argouml.uml.generator.SourceUnit,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Holder
27,org.argouml.persistence.PgmlUtility,argouml.persistence.PgmlUtility,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
28,org.argouml.uml.cognitive.UMLToDoItem,argouml.uml.cognitive.UMLToDoItem,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
29,org.argouml.uml.diagram.deployment.ui.CubePortFigRect,argouml.uml.diagram.deployment.ui.CubePortFigRect,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Holder
30,org.argouml.ui.StylePanelFig,argouml.ui.StylePanelFig,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Interfacer
31,org.argouml.uml.diagram.ui.FigEmptyRect,argouml.uml.diagram.ui.FigEmptyRect,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
32,org.argouml.uml.diagram.deployment.ui.FigObject,argouml.uml.diagram.deployment.ui.FigObject,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
33,org.argouml.uml.generator.AbstractSection,argouml.uml.generator.AbstractSection,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
34,org.argouml.uml.diagram.ui.ActionStereotypeView,argouml.uml.diagram.ui.ActionStereotypeView,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
35,org.argouml.ui.StatusBar,argouml.ui.StatusBar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
36,org.argouml.gefext.ArgoModeCreateFigPoly,argouml.gefext.ArgoModeCreateFigPoly,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
37,org.argouml.uml.generator.Language,argouml.uml.generator.Language,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Holder
38,org.argouml.uml.generator.GeneratorHelper,argouml.uml.generator.GeneratorHelper,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
39,org.argouml.uml.diagram.state.ui.FigSubmachineState,argouml.uml.diagram.state.ui.FigSubmachineState,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Information Holder
40,org.argouml.uml.cognitive.critics.ClClassName,argouml.uml.cognitive.critics.ClClassName,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Interfacer
41,org.argouml.notation.NotationProviderFactory2,argouml.notation.NotationProviderFactory2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Information Holder
42,org.argouml.uml.diagram.state.ui.FigConcurrentRegion,argouml.uml.diagram.state.ui.FigConcurrentRegion,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Interfacer
43,org.argouml.uml.diagram.state.ui.FigFinalState,argouml.uml.diagram.state.ui.FigFinalState,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Information Holder
44,org.argouml.uml.diagram.collaboration.ui.UMLCollaborationDiagram,argouml.uml.diagram.collaboration.ui.UMLCollaborationDiagram,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Interfacer
45,org.argouml.ui.DisplayTextTree,argouml.ui.DisplayTextTree,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Interfacer
46,org.argouml.uml.ui.UMLCheckBox2,argouml.uml.ui.UMLCheckBox2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
47,org.argouml.uml.StereotypeUtility,argouml.uml.StereotypeUtility,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
48,org.argouml.ui.ProjectBrowser,argouml.ui.ProjectBrowser,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Controller
49,org.argouml.uml.diagram.ui.ActionCompartmentDisplay,argouml.uml.diagram.ui.ActionCompartmentDisplay,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Service Provider
50,org.argouml.uml.diagram.activity.ui.FigActionState,argouml.uml.diagram.activity.ui.FigActionState,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Information Holder
51,org.argouml.notation.NotationNameImpl,argouml.notation.NotationNameImpl,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Service Provider
52,org.argouml.cognitive.ui.WizStepManyTextFields,argouml.cognitive.ui.WizStepManyTextFields,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Holder
53,org.argouml.uml.diagram.ui.FigEnumLiteralsCompartment,argouml.uml.diagram.ui.FigEnumLiteralsCompartment,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
54,org.argouml.kernel.ProjectManager,argouml.kernel.ProjectManager,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
55,org.argouml.uml.diagram.state.ui.FigSynchState,argouml.uml.diagram.state.ui.FigSynchState,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Interfacer
56,org.argouml.uml.ui.UMLStereotypeListModel,argouml.uml.ui.UMLStereotypeListModel,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
57,org.argouml.uml.diagram.ui.FigEdgePort,argouml.uml.diagram.ui.FigEdgePort,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
58,org.argouml.notation.providers.uml.OperationNotationUml,argouml.notation.providers.uml.OperationNotationUml,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Service Provider
59,org.argouml.uml.diagram.deployment.ui.AbstractFigComponent,argouml.uml.diagram.deployment.ui.AbstractFigComponent,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Interfacer
60,org.argouml.uml.reveng.ui.ImportStatusScreen,argouml.uml.reveng.ui.ImportStatusScreen,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Interfacer
61,org.argouml.ui.cmd.ActionWrapper,argouml.ui.cmd.ActionWrapper,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Holder
62,org.argouml.gefext.ArgoFigPoly,argouml.gefext.ArgoFigPoly,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
63,org.argouml.ui.SplashScreen,argouml.ui.SplashScreen,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
64,org.argouml.uml.diagram.ui.FigStereotype,argouml.uml.diagram.ui.FigStereotype,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
65,org.argouml.uml.diagram.activity.ui.FigPool,argouml.uml.diagram.activity.ui.FigPool,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
66,org.argouml.ui.SettingsTabLayout,argouml.ui.SettingsTabLayout,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Coordinator
67,org.argouml.profile.internal.FormatingStrategyUML,argouml.profile.internal.FormatingStrategyUML,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
68,org.argouml.uml.diagram.ui.ActionSetMode,argouml.uml.diagram.ui.ActionSetMode,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
69,org.argouml.uml.diagram.ui.ActionAddNote,argouml.uml.diagram.ui.ActionAddNote,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
70,org.argouml.uml.diagram.ui.FigNameWithAbstract,argouml.uml.diagram.ui.FigNameWithAbstract,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
71,org.argouml.uml.diagram.ui.ModeCreateGraphEdge,argouml.uml.diagram.ui.ModeCreateGraphEdge,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Service Provider
72,org.argouml.uml.diagram.ui.FigMultiLineText,argouml.uml.diagram.ui.FigMultiLineText,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
73,org.argouml.gefext.ArgoFigLine,argouml.gefext.ArgoFigLine,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
74,org.argouml.notation.providers.uml.AttributeNotationUml,argouml.notation.providers.uml.AttributeNotationUml,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Service Provider
75,org.argouml.uml.cognitive.checklist.UMLCheckItem,argouml.uml.cognitive.checklist.UMLCheckItem,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
76,org.argouml.ui.ProgressMonitorWindow,argouml.ui.ProgressMonitorWindow,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
77,org.argouml.uml.diagram.state.ui.FigBranchState,argouml.uml.diagram.state.ui.FigBranchState,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Holder
78,org.argouml.uml.reveng.Import,argouml.uml.reveng.Import,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Interfacer
79,org.argouml.uml.ui.UMLEditableComboBox,argouml.uml.ui.UMLEditableComboBox,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
80,org.argouml.uml.cognitive.critics.ClOperationCompartment,argouml.uml.cognitive.critics.ClOperationCompartment,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
81,org.argouml.uml.diagram.ui.ModeCreateAssociationClass,argouml.uml.diagram.ui.ModeCreateAssociationClass,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
82,org.argouml.profile.internal.ocl.CrOCL,argouml.profile.internal.ocl.CrOCL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
83,org.argouml.application.helpers.ResourceLoader,argouml.application.helpers.ResourceLoader,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
84,org.argouml.cognitive.ui.WizStepTextField,argouml.cognitive.ui.WizStepTextField,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Holder
85,org.argouml.persistence.ProfileConfigurationFilePersister,argouml.persistence.ProfileConfigurationFilePersister,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
86,org.argouml.ui.SaveSwingWorker,argouml.ui.SaveSwingWorker,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
87,org.argouml.uml.diagram.ui.ModeCreateAssociation,argouml.uml.diagram.ui.ModeCreateAssociation,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
88,org.argouml.uml.diagram.activity.ui.ActivityDiagramRenderer,argouml.uml.diagram.activity.ui.ActivityDiagramRenderer,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
89,org.argouml.cognitive.ui.ToDoTreeRenderer,argouml.cognitive.ui.ToDoTreeRenderer,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Service Provider
90,org.argouml.uml.diagram.deployment.ui.AbstractFigNode,argouml.uml.diagram.deployment.ui.AbstractFigNode,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Interfacer
91,org.argouml.profile.internal.ocl.DefaultOclEvaluator,argouml.profile.internal.ocl.DefaultOclEvaluator,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
92,org.argouml.uml.diagram.ui.AddExistingNodeCommand,argouml.uml.diagram.ui.AddExistingNodeCommand,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
93,org.argouml.uml.diagram.ui.FigOperationsCompartment,argouml.uml.diagram.ui.FigOperationsCompartment,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
94,org.argouml.persistence.AbstractFilePersister,argouml.persistence.AbstractFilePersister,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Service Provider
95,org.argouml.profile.UserDefinedProfile,argouml.profile.UserDefinedProfile,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Structurer
96,org.argouml.uml.diagram.ArgoDiagramImpl,argouml.uml.diagram.ArgoDiagramImpl,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Interfacer
97,org.argouml.uml.diagram.state.ui.FigStubState,argouml.uml.diagram.state.ui.FigStubState,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Interfacer
98,org.argouml.gefext.ArgoModeCreateFigSpline,argouml.gefext.ArgoModeCreateFigSpline,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
99,org.argouml.cognitive.Critic,argouml.cognitive.Critic,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Information Holder
100,org.argouml.uml.diagram.ui.ActionAggregation,argouml.uml.diagram.ui.ActionAggregation,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
101,org.argouml.ui.explorer.ExplorerTree,argouml.ui.explorer.ExplorerTree,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Interfacer
102,org.argouml.uml.diagram.UMLMutableGraphSupport,argouml.uml.diagram.UMLMutableGraphSupport,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
103,org.argouml.gefext.ArgoModeCreateFigInk,argouml.gefext.ArgoModeCreateFigInk,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
104,org.argouml.cognitive.critics.ui.TableModelCritics,argouml.cognitive.critics.ui.TableModelCritics,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
