,FullClassPath,SubClassPath,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass,label
0,net.sourceforge.ganttproject.gui.options.SpringUtilities,ganttproject.gui.options.SpringUtilities,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
1,net.sourceforge.ganttproject.shape.PaintCellRenderer,ganttproject.shape.PaintCellRenderer,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
2,net.sourceforge.ganttproject.action.edit.EditMenu,ganttproject.action.edit.EditMenu,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Holder
3,net.sourceforge.ganttproject.task.dependency.TaskDependencyImpl,ganttproject.task.dependency.TaskDependencyImpl,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Holder
4,net.sourceforge.ganttproject.gui.GanttDialogInfo,ganttproject.gui.GanttDialogInfo,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,Information Holder
5,net.sourceforge.ganttproject.chart.gantt.GanttChartController,ganttproject.chart.gantt.GanttChartController,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Controller
6,biz.ganttproject.core.chart.scene.gantt.TaskActivitySceneBuilder,ganttproject.core.chart.scene.gantt.TaskActivitySceneBuilder,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Service Provider
7,biz.ganttproject.core.chart.render.RectangleRenderer,ganttproject.core.chart.render.RectangleRenderer,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
8,net.sourceforge.ganttproject.print.PrintPreview,ganttproject.print.PrintPreview,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Interfacer
9,net.sourceforge.ganttproject.document.webdav.FilesCellRenderer,ganttproject.document.webdav.FilesCellRenderer,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
10,net.sourceforge.ganttproject.GanttTask,ganttproject.GanttTask,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
11,net.sourceforge.ganttproject.action.project.OpenMRUDocumentAction,ganttproject.action.project.OpenMRUDocumentAction,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
12,biz.ganttproject.core.chart.grid.OffsetLookup,ganttproject.core.chart.grid.OffsetLookup,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
13,net.sourceforge.ganttproject.importer.ImporterFromGanttFile,ganttproject.importer.ImporterFromGanttFile,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Interfacer
14,net.sourceforge.ganttproject.TaskTreeImageGeneratorExt,ganttproject.TaskTreeImageGeneratorExt,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Service Provider
15,net.sourceforge.ganttproject.chart.TaskRendererImpl2,ganttproject.chart.TaskRendererImpl2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Interfacer
16,net.sourceforge.ganttproject.task.algorithm.AlgorithmCollection,ganttproject.task.algorithm.AlgorithmCollection,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Holder
