,FullClassPath,SubClassPath,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass,label
0,org.gjt.sp.jedit.ActionContext,jedit.ActionContext,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Service Provider
1,org.gjt.sp.jedit.gui.DockableWindowManager,jedit.gui.DockableWindowManager,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Service Provider
2,org.gjt.sp.jedit.gui.FilteredListModel,jedit.gui.FilteredListModel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Holder
3,org.gjt.sp.jedit.JEditActionContext,jedit.JEditActionContext,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Service Provider
4,org.gjt.sp.jedit.bsh.ClassGenerator,jedit.bsh.ClassGenerator,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Service Provider
5,org.jedit.migration.OneTimeMigrationService,jedit.migration.OneTimeMigrationService,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Service Provider
6,org.gjt.sp.jedit.bsh.ReflectManager,jedit.bsh.ReflectManager,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Service Provider
7,org.gjt.sp.jedit.gui.tray.JEditTrayIcon,jedit.gui.tray.JEditTrayIcon,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Service Provider
8,org.gjt.sp.jedit.print.PrintPreviewPaneUI,jedit.print.PrintPreviewPaneUI,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Service Provider
9,org.gjt.sp.jedit.gui.InputHandler,jedit.gui.InputHandler,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
10,org.gjt.sp.jedit.buffer.BufferAdapter,jedit.buffer.BufferAdapter,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Service Provider
11,org.gjt.sp.jedit.jEdit,jedit.jEdit,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Interfacer
12,org.gjt.sp.jedit.SettingsReloader,jedit.SettingsReloader,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Structurer
