,FullClassPath,SubClassPath,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass,label
0,k9mail.src.main.java.com.fsck.k9.controller.SimpleMessagingListener,k9.controller.SimpleMessagingListener,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Service Provider
1,k9mail.src.main.java.com.fsck.k9.mailstore.BinaryAttachmentBody,k9.mailstore.BinaryAttachmentBody,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
2,k9mail.src.main.java.com.fsck.k9.activity.K9PreferenceActivity,k9.activity.K9PreferenceActivity,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Coordinator
3,k9mail-library.src.main.java.com.fsck.k9.mail.store.webdav.WebDavStoreSettings,k9.mail.store.webdav.WebDavStoreSettings,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Holder
4,k9mail.src.main.java.com.fsck.k9.ui.messageview.MessageContainerView,k9.ui.messageview.MessageContainerView,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Interfacer
5,k9mail-library.src.main.java.com.fsck.k9.mail.ServerSettings,k9.mail.ServerSettings,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Holder
6,k9mail.src.main.java.com.fsck.k9.activity.MessageList,k9.activity.MessageList,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Interfacer
7,k9mail.src.main.java.com.fsck.k9.activity.ConfirmationDialog,k9.activity.ConfirmationDialog,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Interfacer
8,k9mail.src.main.java.com.fsck.k9.preferences.SettingsImporter,k9.preferences.SettingsImporter,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
9,k9mail.src.main.java.com.fsck.k9.mailstore.CryptoResultAnnotation,k9.mailstore.CryptoResultAnnotation,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Information Holder
10,k9mail.src.main.java.com.fsck.k9.fragment.MessageListFragment,k9.fragment.MessageListFragment,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Interfacer
11,k9mail.src.main.java.com.fsck.k9.provider.AttachmentProvider,k9.provider.AttachmentProvider,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
12,k9mail.src.main.java.com.fsck.k9.provider.MessageProvider,k9.provider.MessageProvider,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Coordinator
13,k9mail.src.main.java.com.fsck.k9.activity.compose.RecipientPresenter,k9.activity.compose.RecipientPresenter,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Coordinator
14,k9mail-library.src.main.java.com.fsck.k9.mail.store.imap.ImapStoreSettings,k9.mail.store.imap.ImapStoreSettings,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Holder
15,k9mail.src.main.java.com.fsck.k9.notification.NotificationController,k9.notification.NotificationController,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Controller
16,k9mail.src.main.java.com.fsck.k9.message.PgpMessageBuilder,k9.message.PgpMessageBuilder,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
17,k9mail.src.main.java.com.fsck.k9.mailstore.AttachmentViewInfo,k9.mailstore.AttachmentViewInfo,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Holder
18,k9mail.src.main.java.com.fsck.k9.provider.EmailProvider,k9.provider.EmailProvider,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Service Provider
19,k9mail-library.src.main.java.com.fsck.k9.mail.transport.smtp.EnhancedNegativeSmtpReplyException,k9.mail.transport.smtp.EnhancedNegativeSmtpReplyException,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Holder
20,k9mail.src.main.java.com.fsck.k9.activity.compose.SaveMessageTask,k9.activity.compose.SaveMessageTask,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
21,k9mail.src.main.java.com.fsck.k9.fragment.ConfirmationDialogFragment,k9.fragment.ConfirmationDialogFragment,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Coordinator
22,k9mail.src.main.java.com.fsck.k9.helper.MessageHelper,k9.helper.MessageHelper,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
23,k9mail.src.main.java.com.fsck.k9.activity.misc.Attachment,k9.activity.misc.Attachment,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Holder
24,k9mail.src.main.java.com.fsck.k9.ui.messageview.CryptoInfoDialog,k9.ui.messageview.CryptoInfoDialog,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Interfacer
