,FullClassPath,SubClassPath,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass,label
0,com.keepassdroid.database.edit.UpdateEntry,keepassdroid.database.edit.UpdateEntry,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
1,com.keepassdroid.database.load.ImporterV3,keepassdroid.database.load.ImporterV3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Service Provider
2,com.keepassdroid.database.load.Importer,keepassdroid.database.load.Importer,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Holder
3,com.keepassdroid.password.PasswordGenerator,keepassdroid.password.PasswordGenerator,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
4,com.keepassdroid.compat.KeyGenParameterSpecCompat,keepassdroid.compat.KeyGenParameterSpecCompat,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
5,com.keepassdroid.crypto.keyDerivation.Argon2Native,keepassdroid.crypto.keyDerivation.Argon2Native,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
6,com.keepassdroid.database.edit.DeleteEntry,keepassdroid.database.edit.DeleteEntry,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Holder
7,com.keepassdroid.database.edit.SetPassword,keepassdroid.database.edit.SetPassword,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
8,com.keepassdroid.database.edit.DeleteGroup,keepassdroid.database.edit.DeleteGroup,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
9,com.keepassdroid.database.edit.AddGroup,keepassdroid.database.edit.AddGroup,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
10,com.keepassdroid.Database,keepassdroid.Database,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,Service Provider
11,com.keepassdroid.database.load.ImporterV4,keepassdroid.database.load.ImporterV4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Interfacer
12,com.keepassdroid.database.save.PwDbV4Output,keepassdroid.database.save.PwDbV4Output,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Interfacer
13,com.keepassdroid.database.load.ImporterV4Debug,keepassdroid.database.load.ImporterV4Debug,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
14,com.keepassdroid.crypto.NativeAESCipherSpi,keepassdroid.crypto.NativeAESCipherSpi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Service Provider
15,com.keepassdroid.database.load.ImporterV3Debug,keepassdroid.database.load.ImporterV3Debug,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
16,com.keepassdroid.database.edit.LoadDB,keepassdroid.database.edit.LoadDB,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
17,com.keepassdroid.stream.BetterCipherInputStream,keepassdroid.stream.BetterCipherInputStream,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
18,com.keepassdroid.GroupBaseActivity,keepassdroid.GroupBaseActivity,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Interfacer
19,com.keepassdroid.database.PwDatabaseV3,keepassdroid.database.PwDatabaseV3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,Information Holder
20,com.keepassdroid.EntryEditActivityV4,keepassdroid.EntryEditActivityV4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
