,FullClassPath,SubClassPath,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass,label
0,org.mars_sim.msp.core.person.Training,msp.core.person.Training,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Holder
1,org.mars_sim.msp.core.vehicle.Vehicle,msp.core.vehicle.Vehicle,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Interfacer
2,org.mars_sim.msp.core.structure.building.function.farming.CropType,msp.core.structure.building.function.farming.CropType,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Holder
3,org.mars_sim.msp.core.Unit,msp.core.Unit,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Interfacer
4,org.mars_sim.msp.core.structure.SettlementConfig,msp.core.structure.SettlementConfig,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Service Provider
5,org.mars_sim.msp.core.person.ai.mission.RoverMission,msp.core.person.ai.mission.RoverMission,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,Interfacer
6,org.mars_sim.msp.core.person.ai.task.OperateVehicle,msp.core.person.ai.task.OperateVehicle,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Interfacer
7,org.mars_sim.msp.core.malfunction.MalfunctionEvent,msp.core.malfunction.MalfunctionEvent,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Information Holder
8,org.mars_sim.msp.core.astroarts.Comet,msp.core.astroarts.Comet,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Holder
9,org.mars_sim.msp.core.person.ai.mission.EmergencySupply,msp.core.person.ai.mission.EmergencySupply,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Interfacer
10,org.mars_sim.msp.core.person.ai.mission.Trade,msp.core.person.ai.mission.Trade,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Interfacer
11,org.mars_sim.msp.core.resource.Part,msp.core.resource.Part,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
12,org.mars_sim.msp.core.resource.ResourceUtil,msp.core.resource.ResourceUtil,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,Interfacer
13,org.mars_sim.msp.core.person.ai.mission.Mining,msp.core.person.ai.mission.Mining,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
14,org.mars_sim.msp.core.person.ai.mission.MeteorologyFieldStudy,msp.core.person.ai.mission.MeteorologyFieldStudy,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Interfacer
15,org.mars_sim.msp.ui.swing.MainDesktopManager,msp.ui.swing.MainDesktopManager,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
16,org.mars_sim.msp.core.person.ai.mission.TradeUtil,msp.core.person.ai.mission.TradeUtil,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,Service Provider
17,org.mars_sim.msp.ui.swing.tool.settlement.VehicleMapLayer,msp.ui.swing.tool.settlement.VehicleMapLayer,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
18,org.mars_sim.msp.core.person.ai.job.JobHistory,msp.core.person.ai.job.JobHistory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Holder
19,org.mars_sim.msp.core.resource.AmountResource,msp.core.resource.AmountResource,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Holder
20,org.mars_sim.msp.core.structure.building.function.BuildingAirlock,msp.core.structure.building.function.BuildingAirlock,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
21,org.mars_sim.msp.core.person.ai.task.LoadVehicleGarage,msp.core.person.ai.task.LoadVehicleGarage,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,Service Provider
22,org.mars_sim.msp.ui.swing.tool.DropShadowBorder,msp.ui.swing.tool.DropShadowBorder,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
