,FullClassPath,SubClassPath,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass,label
0,org.thoughtcrime.securesms.blurhash.BlurHashDecoder,blurhash.BlurHashDecoder,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
1,org.thoughtcrime.securesms.registration.service.RegistrationService,registration.service.RegistrationService,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
2,org.thoughtcrime.securesms.database.loaders.PagingMediaLoader,database.loaders.PagingMediaLoader,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
3,org.thoughtcrime.securesms.lock.SignalPinReminderDialog,lock.SignalPinReminderDialog,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Interfacer
4,org.thoughtcrime.securesms.jobs.MultiDeviceVerifiedUpdateJob,jobs.MultiDeviceVerifiedUpdateJob,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
5,org.thoughtcrime.securesms.database.model.ThreadRecord,database.model.ThreadRecord,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Service Provider
6,org.thoughtcrime.securesms.mediasend.CameraXVideoCaptureHelper,mediasend.CameraXVideoCaptureHelper,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
7,org.thoughtcrime.securesms.storage.StorageSyncHelper,storage.StorageSyncHelper,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Service Provider
8,org.thoughtcrime.securesms.mediasend.MediaSendVideoFragment,mediasend.MediaSendVideoFragment,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Interfacer
9,org.thoughtcrime.securesms.events.WebRtcViewModel,events.WebRtcViewModel,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Holder
10,org.thoughtcrime.securesms.providers.PartProvider,providers.PartProvider,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
11,org.thoughtcrime.securesms.contactshare.ContactFieldAdapter,contactshare.ContactFieldAdapter,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Service Provider
12,org.thoughtcrime.securesms.database.model.NotificationMmsMessageRecord,database.model.NotificationMmsMessageRecord,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Holder
