,FullClassPath,SubClassPath,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass,label
0,src.com.eteks.sweethome3d.j3d.OBJWriter,sweethome3d.j3d.OBJWriter,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Service Provider
1,src.com.eteks.sweethome3d.model.Compass,sweethome3d.model.Compass,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Service Provider
2,src.com.eteks.sweethome3d.tools.ExtensionsClassLoader,sweethome3d.tools.ExtensionsClassLoader,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
3,src.com.eteks.sweethome3d.viewcontroller.PlanController,sweethome3d.viewcontroller.PlanController,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Controller
4,src.com.eteks.sweethome3d.j3d.Wall3D,sweethome3d.j3d.Wall3D,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
5,src.com.eteks.sweethome3d.viewcontroller.RoomController,sweethome3d.viewcontroller.RoomController,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Coordinator
6,src.com.eteks.sweethome3d.j3d.ModelManager,sweethome3d.j3d.ModelManager,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Controller
7,src.com.eteks.sweethome3d.model.Camera,sweethome3d.model.Camera,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Information Holder
8,src.com.eteks.sweethome3d.applet.HomeAppletController,sweethome3d.applet.HomeAppletController,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Controller
9,src.com.eteks.sweethome3d.viewcontroller.LevelController,sweethome3d.viewcontroller.LevelController,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Controller
10,src.com.eteks.sweethome3d.viewcontroller.LabelController,sweethome3d.viewcontroller.LabelController,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Controller
11,src.com.eteks.sweethome3d.j3d.HomePieceOfFurniture3D,sweethome3d.j3d.HomePieceOfFurniture3D,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
12,src.com.eteks.sweethome3d.applet.AppletUserPreferences,sweethome3d.applet.AppletUserPreferences,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Structurer
13,src.com.eteks.sweethome3d.model.Polyline,sweethome3d.model.Polyline,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Coordinator
14,src.com.eteks.sweethome3d.model.CatalogPieceOfFurniture,sweethome3d.model.CatalogPieceOfFurniture,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Information Holder
15,src.com.eteks.sweethome3d.model.BackgroundImage,sweethome3d.model.BackgroundImage,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Information Holder
16,src.com.eteks.sweethome3d.swing.PlanComponent,sweethome3d.swing.PlanComponent,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Controller
17,src.com.eteks.sweethome3d.viewcontroller.HomeFurnitureController,sweethome3d.viewcontroller.HomeFurnitureController,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Controller
18,src.com.eteks.sweethome3d.model.HomePrint,sweethome3d.model.HomePrint,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Information Holder
19,src.com.eteks.sweethome3d.io.DefaultLibrary,sweethome3d.io.DefaultLibrary,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Holder
20,src.com.eteks.sweethome3d.model.CatalogDoorOrWindow,sweethome3d.model.CatalogDoorOrWindow,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Holder
21,src.com.eteks.sweethome3d.swing.HomeComponent3D,sweethome3d.swing.HomeComponent3D,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Interfacer
22,src.com.eteks.sweethome3d.j3d.PhotoRenderer,sweethome3d.j3d.PhotoRenderer,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
23,src.com.eteks.sweethome3d.viewcontroller.CompassController,sweethome3d.viewcontroller.CompassController,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Controller
24,src.com.eteks.sweethome3d.viewcontroller.ImportedFurnitureWizardController,sweethome3d.viewcontroller.ImportedFurnitureWizardController,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Controller
