,FullClassPath,SubClassPath,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass,label
0,org.telegram.ui.TextSelectionHint,ui.TextSelectionHint,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Structurer
1,org.telegram.ui.Components.BackupImageView,ui.Components.BackupImageView,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
2,org.telegram.ui.Components.Scroller,ui.Components.Scroller,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Service Provider
3,org.telegram.ui.Components.Paint.Views.RotationGestureDetector,ui.Components.Paint.Views.RotationGestureDetector,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Service Provider
4,org.telegram.messenger.voip.VoIPController,messenger.voip.VoIPController,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Controller
5,org.telegram.ui.ChatActivity,ui.ChatActivity,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Interfacer
6,org.telegram.messenger.ImageReceiver,messenger.ImageReceiver,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Controller
7,org.telegram.tgnet.ConnectionsManager,tgnet.ConnectionsManager,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Service Provider
8,org.telegram.ui.Charts.BaseChartView,ui.Charts.BaseChartView,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,Interfacer
9,org.telegram.ui.LaunchActivity,ui.LaunchActivity,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Interfacer
10,org.telegram.messenger.MediaController,messenger.MediaController,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,Controller
11,org.telegram.ui.Adapters.SearchAdapter,ui.Adapters.SearchAdapter,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
12,org.telegram.messenger.MessagesStorage,messenger.MessagesStorage,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Interfacer
13,org.telegram.ui.Components.AlertsCreator,ui.Components.AlertsCreator,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
14,org.telegram.messenger.time.SunDate,messenger.time.SunDate,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
15,org.telegram.ui.ChatUsersActivity,ui.ChatUsersActivity,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Interfacer
16,org.telegram.messenger.FileLoader,messenger.FileLoader,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Controller
17,org.telegram.ui.PassportActivity,ui.PassportActivity,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Interfacer
18,org.telegram.messenger.ImageLoader,messenger.ImageLoader,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
19,org.telegram.messenger.SendMessagesHelper,messenger.SendMessagesHelper,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Service Provider
20,org.telegram.ui.Adapters.SearchAdapterHelper,ui.Adapters.SearchAdapterHelper,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
21,org.telegram.messenger.MessageObject,messenger.MessageObject,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,Interfacer
22,org.telegram.ui.Components.SvgHelper,ui.Components.SvgHelper,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
23,org.telegram.ui.ChatRightsEditActivity,ui.ChatRightsEditActivity,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Interfacer
24,org.telegram.ui.FilterCreateActivity,ui.FilterCreateActivity,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Interfacer
25,org.telegram.ui.Components.StaticLayoutEx,ui.Components.StaticLayoutEx,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Service Provider
26,org.telegram.ui.ActionBar.ThemeDescription,ui.ActionBar.ThemeDescription,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Interfacer
27,org.telegram.ui.Components.LayoutHelper,ui.Components.LayoutHelper,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
28,org.telegram.ui.Components.SharedMediaLayout,ui.Components.SharedMediaLayout,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Interfacer
29,org.telegram.ui.Components.EmbedBottomSheet,ui.Components.EmbedBottomSheet,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Interfacer
30,org.telegram.ui.ArticleViewer,ui.ArticleViewer,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Controller
31,org.telegram.messenger.MessagesController,messenger.MessagesController,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,Controller
32,org.telegram.ui.Components.TextPaintImageReceiverSpan,ui.Components.TextPaintImageReceiverSpan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
33,org.telegram.messenger.AndroidUtilities,messenger.AndroidUtilities,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,Interfacer
34,org.telegram.messenger.video.MediaCodecVideoConvertor,messenger.video.MediaCodecVideoConvertor,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
35,org.telegram.messenger.Intro,messenger.Intro,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Holder
36,org.telegram.messenger.NotificationsController,messenger.NotificationsController,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,Controller
37,org.telegram.ui.Components.BulletSpan,ui.Components.BulletSpan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
38,org.telegram.ui.PaymentFormActivity,ui.PaymentFormActivity,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Interfacer
39,org.telegram.messenger.ImageLocation,messenger.ImageLocation,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Service Provider
40,org.telegram.ui.PhotoViewer,ui.PhotoViewer,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Controller
41,org.telegram.messenger.MediaDataController,messenger.MediaDataController,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,Controller
42,org.telegram.ui.Charts.ChartPickerDelegate,ui.Charts.ChartPickerDelegate,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Service Provider
43,org.telegram.ui.SessionsActivity,ui.SessionsActivity,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Interfacer
44,org.telegram.messenger.audioinfo.mp3.ID3v2Info,messenger.audioinfo.mp3.ID3v2Info,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
45,org.telegram.ui.Components.RecyclerListView,ui.Components.RecyclerListView,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,Interfacer
46,org.telegram.messenger.time.FastDatePrinter,messenger.time.FastDatePrinter,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
47,org.telegram.messenger.MusicPlayerService,messenger.MusicPlayerService,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Interfacer
48,org.telegram.ui.TooManyCommunitiesActivity,ui.TooManyCommunitiesActivity,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Interfacer
49,org.telegram.ui.Components.AvatarDrawable,ui.Components.AvatarDrawable,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Information Holder
50,org.telegram.messenger.voip.VoIPService,messenger.voip.VoIPService,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,Interfacer
51,org.telegram.ui.Components.PasscodeView,ui.Components.PasscodeView,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Interfacer
52,org.telegram.ui.ExternalActionActivity,ui.ExternalActionActivity,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Interfacer
53,org.telegram.ui.IdenticonActivity,ui.IdenticonActivity,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Interfacer
54,org.telegram.ui.InviteContactsActivity,ui.InviteContactsActivity,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Interfacer
55,org.telegram.ui.Components.voip.VoIPHelper,ui.Components.voip.VoIPHelper,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,Service Provider
56,org.telegram.ui.Components.PhotoFilterBlurControl,ui.Components.PhotoFilterBlurControl,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Information Holder
57,org.telegram.ui.Components.SeekBarView,ui.Components.SeekBarView,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Interfacer
58,org.telegram.ui.NotificationsCustomSettingsActivity,ui.NotificationsCustomSettingsActivity,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Interfacer
59,org.telegram.ui.SecretMediaViewer,ui.SecretMediaViewer,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
60,org.telegram.ui.Adapters.DialogsAdapter,ui.Adapters.DialogsAdapter,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Interfacer
61,org.telegram.ui.Cells.FeaturedStickerSetCell2,ui.Cells.FeaturedStickerSetCell2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Interfacer
62,org.telegram.ui.Components.GestureDetector2,ui.Components.GestureDetector2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Interfacer
63,org.telegram.ui.ActionBar.SimpleTextView,ui.ActionBar.SimpleTextView,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Interfacer
64,org.telegram.ui.Components.BlurBehindDrawable,ui.Components.BlurBehindDrawable,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
65,org.telegram.ui.Components.AnimatedFileDrawable,ui.Components.AnimatedFileDrawable,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,Interfacer
66,org.telegram.messenger.FileRefController,messenger.FileRefController,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Controller
67,org.telegram.ui.Components.GroupedPhotosListView,ui.Components.GroupedPhotosListView,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Interfacer
